BCTNPF,BCTVPF,0.833333333,,,
LTUCXA,LTJCXA,0.833333333,,,
ANENGM,AVENGM,0.833333333,,,
TXFXFL,TXFXFL,1,,,
LJAHLP,LJAHLP,1,,,
CYCPMX,CYCPMX,1,,,
PBAENB,PBAENB,1,,,
UPNKMY,UPNKMY,1,,,
MFHJRH,MFHJRH,1,,,
CLPPAY,CLPAY,0.909090909,,,
BTRFRX,BTRFRX,1,,,
KYRHCU,KYRHCU,1,,,
GJERXL,CJERXL,0.833333333,,,
BPLLMU,BPLLMU,1,,,
AHAFGT,AHAHCT,0.666666667,,,
CPCTPE,CPCTPE,1,,,
RUAMML,RUAMMML,0.923076923,,,
PPGAME,PPCAME,0.833333333,,,
ABXTXM,ABXTXM,1,,,
MPFGKB,MPGKB,0.909090909,,,
CAKCJE,CAKCJE,1,,,
RTEFKL,RTEFKL,1,,,
FMLLJN,FMLLJN,1,,,
NKMKTN,NKMKTN,1,,,
HYKNFT,HYKVFT,0.833333333,,,
